classe,alto_potencial,potencial_cargo,CD_setor,NM_BAIRRO,quantidade_oportunidade,tamanho_oportunidade,alta_oportunidade,Valor,Classe_Quartil,latlon,lat,lon,cep,oportunidade
Sub-ideal,False,,410150705000132,,3,ALTA,True,0.563128222726241,3,"(-23.415687, -51.462122)",-23.415686799999946,-51.46212172620086,,3
Sub-ideal,False,,410150705000133,,3,ALTA,True,0.5772601540616247,3,"(-23.424244, -51.462432)",-23.42424429999997,-51.462431734142335,,3
Sub-ideal,False,,410150705000134,,3,ALTA,True,0.5713544165413058,3,"(-23.418756, -51.464551)",-23.418755699999963,-51.46455106033656,,3
Sub-ideal,False,,410150705000138,,3,ALTA,True,0.5768987638867157,3,"(-23.393714, -51.391387)",-23.393714099999954,-51.39138730083087,,3
Sub-ideal,False,,410150705000144,,3,ALTA,True,0.5830045736264979,4,"(-23.426212, -51.473676)",-23.426211549999977,-51.473675890092295,,3
Sub-ideal,False,,410150705000149,,3,ALTA,True,0.5734747577350777,3,"(-23.422332, -51.446892)",-23.42233239999996,-51.446891840112485,,3
Sub-ideal,False,,410150705000151,,3,ALTA,True,0.5685219413897674,3,"(-23.411508, -51.460321)",-23.411508349999963,-51.46032055834824,,3
Sub-ideal,False,,410150705000155,,3,ALTA,True,0.5965087186287557,4,"(-23.453491, -51.431735)",-23.453490649999964,-51.43173489248705,,3
Sub-ideal,False,,410150705000156,,3,ALTA,True,0.5968591212139197,4,"(-23.452573, -51.434603)",-23.452572699999962,-51.43460340038688,,3
Sub-ideal,False,,410150705000157,,3,ALTA,True,0.5644747080082582,3,"(-23.415706, -51.465733)",-23.41570564999995,-51.46573265082556,,3
Sub-ideal,False,,410150705000159,,3,ALTA,True,0.5998997885781484,4,"(-23.443014, -51.439018)",-23.443014099999942,-51.43901833270621,,3
Sub-ideal,False,,410150705000162,,3,ALTA,True,0.5631212414725413,3,"(-23.393176, -51.456531)",-23.39317559999995,-51.45653148836131,,3
Sub-ideal,False,,410150705000164,,3,ALTA,True,0.5617371558206654,3,"(-23.421808, -51.463345)",-23.421808299999952,-51.46334464933407,,3
Sub-ideal,False,,410150705000165,,3,ALTA,True,0.5739918559254439,3,"(-23.424244, -51.464733)",-23.42424429999997,-51.464732837913644,,3
Sub-ideal,False,,410150705000166,,3,ALTA,True,0.577144241992601,3,"(-23.420019, -51.464014)",-23.420019099999962,-51.46401430708683,,3
Sub-ideal,False,,410150705000167,,3,ALTA,True,0.5653757888697648,3,"(-23.394095, -51.406069)",-23.39409484999996,-51.40606920813861,,3
Sub-ideal,False,,410150705000178,,3,ALTA,True,0.5610994353353264,3,"(-23.424855, -51.433591)",-23.42485549999998,-51.43359107711167,,3
Sub-ideal,False,,410150705000179,,3,ALTA,True,0.5924509840604655,4,"(-23.425740, -51.431624)",-23.425739549999946,-51.431623522243896,,3
